Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
06/24/2021,45,0,10,7,15,10,7,4,0,1,1,0,25,20,0,8,2,18,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,2,0,0,0,0,3,7,0,1,1,4,3,1,0
10/04/2021,428,3,23,105,84,79,53,48,32,22,5,0,211,216,1,75,18,123,138,26,48,0,0,0,0,0,2,1,0,0,1,2,0,1,0,0,2,0,0,0,3,4,3,4,3,3,3,0,14,9,0,6,0,8,6,3,0
07/07/2020,341,4,25,35,107,69,55,44,19,8,4,0,184,156,1,107,12,95,82,9,36,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,4,6,3,0,9,16,0,4,2,13,4,1,1
03/07/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
01/09/2023,494,0,36,91,60,75,58,68,60,50,32,0,270,222,2,150,27,148,107,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,9,11,7,0,17,19,0,9,1,15,10,1,0
06/28/2022,1019,0,40,111,224,249,132,138,74,66,25,0,574,444,1,218,75,260,266,55,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,7,4,11,8,0,16,24,0,6,0,22,8,4,0
02/12/2022,228,6,27,41,39,38,26,28,25,20,11,0,114,112,2,53,14,37,68,11,45,0,0,0,1,1,0,3,1,0,4,2,0,3,0,3,0,0,0,2,5,2,4,0,6,5,3,0,8,19,0,7,1,13,4,1,1
04/29/2021,531,7,47,111,118,108,71,64,34,13,12,0,267,264,0,138,18,197,109,11,58,0,0,1,0,1,1,1,3,0,5,2,0,2,0,2,3,0,0,2,4,3,6,9,10,8,5,0,25,22,0,11,1,30,3,2,0
02/14/2022,381,15,16,108,78,61,40,36,29,20,9,0,186,193,2,78,25,57,131,20,70,0,0,0,3,1,2,5,4,0,12,3,0,1,0,9,3,2,0,0,0,1,2,3,4,2,4,0,8,8,0,7,0,3,6,0,0
08/15/2022,734,1,37,97,116,134,124,113,70,48,32,0,436,298,0,193,45,201,169,28,98,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,3,5,0,3,3,8,10,0,24,13,0,9,1,19,8,0,0
03/14/2020,31,0,9,0,9,2,7,6,3,3,1,0,18,13,0,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,7,2,0,2,0,4,3,0,0
05/09/2023,137,1,14,40,10,18,9,13,24,14,9,0,77,59,1,24,9,52,27,7,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,5,5,2,0,7,7,0,3,1,5,5,0,0
01/01/2022,1872,21,195,347,366,357,277,231,149,84,59,2,1000,869,3,448,80,514,403,119,308,0,0,0,1,3,6,6,5,0,10,11,0,4,1,12,4,0,0,11,21,23,17,28,26,38,31,0,103,92,0,51,6,107,25,3,3
11/27/2021,554,4,33,110,117,124,85,52,40,17,9,0,286,266,2,88,13,102,206,52,93,0,0,1,0,0,0,1,2,0,0,4,0,0,0,1,3,0,0,0,3,4,1,4,10,7,4,0,16,17,0,8,4,12,9,0,0
05/09/2022,1611,0,33,427,285,294,247,180,109,45,24,0,909,700,2,302,139,314,536,91,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,1,3,5,2,8,0,22,11,0,5,2,11,15,0,0
02/26/2023,178,2,21,27,33,31,25,17,17,16,12,0,107,71,0,44,10,45,45,8,26,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,3,0,2,3,1,2,5,5,0,12,9,0,9,0,7,3,1,1
09/07/2020,72,1,17,4,19,17,5,10,11,3,3,0,39,33,0,23,0,22,19,3,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,6,1,1,5,1,1,0,11,6,0,8,0,5,3,0,1
11/07/2021,305,5,19,64,79,73,45,24,12,5,3,0,162,143,0,42,12,72,101,20,58,0,0,0,0,1,1,2,1,0,2,3,0,3,0,2,0,0,0,1,2,0,7,2,3,3,1,0,11,8,0,7,0,10,2,0,0
09/16/2022,422,0,30,81,67,58,59,46,50,36,25,0,243,179,0,115,17,121,102,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,1,3,7,8,0,15,15,0,5,2,17,5,1,0
09/22/2022,426,2,36,83,61,76,58,51,48,31,18,0,251,175,0,101,15,138,101,19,52,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,1,4,3,2,1,9,9,7,0,20,16,0,11,0,12,13,0,0
05/24/2020,278,27,92,16,55,42,47,33,47,22,16,0,148,130,0,143,6,55,23,10,41,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,0,7,6,5,19,31,13,11,0,45,47,0,33,2,36,11,4,6
11/18/2021,630,9,36,162,121,144,88,56,31,16,12,0,323,305,2,98,23,128,207,48,126,0,0,1,0,2,2,0,4,0,3,6,0,1,0,5,3,0,0,0,2,6,4,5,3,7,9,0,19,17,0,5,3,16,9,2,1
07/20/2022,1005,2,48,144,203,207,146,132,96,49,28,0,563,441,1,261,58,287,230,49,120,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,1,6,4,4,4,11,7,11,0,22,26,0,12,2,26,7,1,0
09/23/2022,339,0,25,46,64,59,39,55,41,26,9,0,188,150,1,72,15,115,86,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,6,3,4,0,13,12,0,3,0,14,6,2,0
03/12/2020,21,0,7,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,3,4,0,0,1,4,2,0,0
05/26/2022,1223,1,35,244,269,255,146,145,83,50,31,0,679,544,0,274,90,262,335,72,190,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4,2,4,4,6,8,6,0,17,18,0,6,2,16,8,3,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
07/12/2023,52,0,6,10,7,13,11,3,6,1,1,0,35,16,1,14,3,19,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,2,4,0,0,0,5,1,0,0
12/25/2020,160,21,67,8,33,24,20,16,21,17,21,0,75,84,1,42,10,49,35,13,11,0,0,1,0,2,7,4,7,0,6,15,0,8,0,5,8,0,0,0,4,7,7,8,14,11,16,0,35,32,0,27,2,25,12,1,0
10/13/2022,366,1,26,72,41,54,50,46,44,34,25,0,208,158,0,73,21,120,86,19,47,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,3,3,2,5,5,6,0,16,10,0,4,1,13,7,0,1
05/30/2022,386,1,24,51,69,69,73,51,32,17,24,0,235,150,1,80,34,90,127,12,43,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,2,1,5,3,7,0,10,14,0,2,0,13,8,0,1
03/16/2020,77,1,14,1,13,21,18,12,7,4,1,0,36,41,0,9,6,25,31,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,3,2,1,1,0,4,10,0,1,0,10,3,0,0
08/02/2022,964,1,37,116,195,205,139,111,97,71,30,0,544,418,2,255,55,266,208,42,138,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,6,3,3,2,9,6,8,0,18,19,0,4,2,19,11,0,1
09/19/2021,244,2,32,55,50,56,34,23,16,2,8,0,127,116,1,48,17,63,71,22,23,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,6,1,7,5,5,2,4,0,14,18,0,5,1,17,5,1,3
08/02/2023,98,0,1,11,18,21,10,16,10,6,6,0,55,43,0,29,7,25,24,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
03/30/2022,400,1,6,81,90,101,54,40,20,10,4,0,226,174,0,61,27,57,170,17,68,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3,0,0,4,2,0,2,0,1,3,0,0
03/01/2022,187,6,4,59,31,29,22,17,15,5,9,0,104,82,1,36,7,27,59,13,45,0,0,0,0,0,1,2,3,0,4,2,0,2,0,2,2,0,0,2,0,1,0,0,0,0,1,0,2,2,0,1,0,2,1,0,0
07/29/2022,812,0,38,124,151,145,112,109,85,56,30,0,466,345,1,204,43,233,187,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,6,7,6,4,3,0,20,18,0,10,0,18,6,3,1
12/22/2022,522,1,33,43,73,97,71,74,84,51,29,0,297,225,0,133,19,143,138,18,71,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,1,1,3,8,8,6,0,19,14,0,6,1,12,11,1,2
04/22/2022,688,0,13,151,128,148,98,65,48,34,16,0,398,290,0,145,66,97,241,46,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,3,2,0,10,3,0,3,1,5,3,1,0
10/26/2021,343,3,16,91,62,70,45,39,24,8,4,0,180,162,1,69,11,91,104,26,42,0,0,0,0,1,0,0,2,0,2,1,0,0,1,2,0,0,0,1,1,4,2,2,2,3,1,0,8,8,0,3,0,8,4,0,1
08/17/2020,489,3,26,68,141,83,72,63,29,23,10,0,235,250,4,270,9,78,100,10,22,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,1,2,6,7,4,5,1,0,12,14,0,9,0,13,4,0,0
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0
12/07/2022,746,0,54,160,117,137,76,95,74,47,40,0,423,322,1,187,31,219,188,33,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,8,9,13,12,0,29,25,0,12,2,24,13,2,1
02/21/2022,240,10,18,40,55,47,32,20,31,9,6,0,147,93,0,34,13,37,83,9,64,0,0,0,2,0,1,1,6,0,4,6,0,2,0,2,6,0,0,0,2,2,3,4,2,2,3,0,10,8,0,2,1,10,5,0,0
12/09/2021,1299,8,70,283,324,287,171,135,61,26,12,0,652,645,2,222,36,339,330,109,263,0,0,1,0,1,3,2,1,0,6,2,0,0,0,7,1,0,0,2,6,11,5,14,14,12,6,0,35,35,0,16,1,26,25,1,1
04/03/2021,469,9,46,61,130,113,69,51,27,12,6,0,235,233,1,110,24,111,169,15,40,0,0,0,1,2,1,2,3,0,3,6,0,4,1,3,1,0,0,0,3,5,6,6,8,13,5,0,20,26,0,7,0,21,16,1,1
08/29/2021,309,2,26,66,73,59,49,35,13,9,5,0,150,159,0,53,18,94,95,14,35,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,2,4,4,3,3,3,3,4,0,14,12,0,6,0,17,2,1,0
06/17/2021,35,2,6,7,7,10,3,3,4,1,0,0,17,18,0,12,1,8,10,2,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,3,1,0,0,0,5,1,0,4,0,1,1,0,0
08/01/2021,215,3,18,26,54,51,28,25,22,7,2,0,108,106,1,53,7,55,72,9,19,0,2,0,1,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1,3,4,3,6,0,1,0,7,11,0,3,0,8,4,1,2
06/02/2023,45,0,6,10,9,5,1,7,5,6,2,0,27,18,0,12,2,14,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,5,1,0,0,0,4,1,1,0
02/02/2023,429,2,22,161,55,54,35,44,25,38,17,0,251,176,2,133,24,165,71,19,17,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,4,0,4,2,7,4,0,13,9,0,7,3,5,7,0,0
08/16/2021,587,3,26,61,148,149,104,60,46,13,6,0,282,303,2,129,33,140,193,11,81,1,0,0,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,2,2,4,3,4,5,4,2,0,14,12,0,7,1,13,4,1,0
09/30/2021,462,7,28,116,105,92,48,46,29,19,7,0,238,222,2,76,14,139,157,34,42,0,0,0,0,3,0,1,3,0,4,3,0,1,0,6,0,0,0,1,0,2,5,4,5,7,4,0,18,10,0,2,0,16,10,0,0
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
07/15/2021,133,0,7,15,45,28,21,13,8,3,0,0,78,55,0,16,7,49,39,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2,5,0,0,0,7,0,0,0
01/14/2022,3075,21,155,820,520,534,389,311,259,143,99,0,1638,1434,3,789,179,548,766,173,620,0,0,1,2,0,2,12,4,0,8,13,0,4,1,10,6,0,0,9,23,19,16,8,31,14,35,0,72,83,0,35,11,61,40,6,2
03/14/2021,180,4,18,24,53,36,31,17,14,5,0,0,85,95,0,39,8,33,73,10,17,0,0,0,0,0,2,1,1,0,2,2,0,1,0,2,1,0,0,1,1,3,1,4,4,3,1,0,9,9,0,1,0,10,6,1,0
10/30/2021,280,2,17,57,60,63,29,32,21,12,6,0,140,139,1,60,18,71,84,22,25,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,2,5,3,3,2,0,11,6,0,4,1,8,3,1,0
10/22/2021,305,5,15,65,51,79,34,37,23,10,6,0,153,151,1,67,11,63,100,21,43,0,0,0,0,2,0,2,1,0,3,2,0,2,0,1,2,0,0,1,1,3,0,4,1,4,1,0,8,7,0,4,0,7,2,2,0
12/23/2022,327,2,30,34,43,76,37,52,40,26,19,0,182,143,2,76,17,89,92,16,37,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,2,0,5,5,6,10,0,17,13,0,6,0,12,12,0,0
10/23/2020,1016,4,61,126,251,188,173,134,90,37,16,1,543,469,4,312,32,203,320,38,111,0,0,0,0,0,0,0,4,0,3,1,0,2,0,1,1,0,0,3,4,8,4,12,17,9,4,0,31,30,0,17,2,21,17,0,4
08/08/2022,911,1,46,109,192,138,125,120,114,68,45,0,504,405,2,239,58,243,202,37,132,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,3,7,3,5,4,11,9,0,22,24,0,7,0,26,11,2,0
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
08/09/2022,817,1,54,106,160,154,152,81,68,62,34,0,491,325,1,215,47,215,186,38,116,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,4,7,2,10,12,8,5,0,31,23,0,12,1,25,12,4,0
05/07/2020,939,49,140,58,178,195,172,147,116,40,33,0,485,449,5,517,19,151,108,30,114,0,0,2,2,8,14,10,13,0,20,29,0,16,3,19,9,1,1,2,5,18,20,20,34,23,18,0,55,85,0,67,3,41,21,6,2
02/28/2023,396,4,30,113,59,48,48,45,42,23,18,0,205,190,1,104,19,126,95,21,31,0,0,0,0,0,1,1,2,0,2,2,0,0,0,2,2,0,0,1,3,0,3,5,4,9,5,0,15,15,0,6,1,15,5,1,2
08/24/2021,568,3,37,114,158,122,65,45,27,25,11,1,293,274,1,109,20,160,167,18,94,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,3,4,3,8,9,5,5,0,22,15,0,3,1,22,10,1,0
08/21/2022,362,2,37,71,59,69,58,46,26,22,10,1,212,150,0,95,13,102,98,21,33,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,3,3,4,5,4,6,2,9,1,19,18,0,6,3,18,5,4,1
06/04/2023,30,1,3,5,4,4,4,3,5,3,2,0,16,14,0,8,5,6,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,0,0,2,0,0
04/18/2022,771,1,13,145,168,160,124,82,49,32,11,0,440,326,5,119,74,92,300,52,134,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,3,1,0,4,0,9,4,0,1,0,4,8,0,0
10/20/2022,441,2,35,83,71,73,44,48,55,42,25,0,257,183,1,102,24,152,92,17,54,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,3,2,3,5,5,7,7,0,19,16,0,10,4,12,8,1,0
08/22/2021,284,7,33,45,65,61,52,33,16,6,6,0,151,133,0,52,7,78,105,10,32,0,0,0,2,2,1,0,2,0,4,3,0,1,1,5,0,0,0,1,4,4,11,4,4,1,4,0,19,14,0,6,1,17,8,0,1
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
02/21/2023,445,5,32,111,58,52,50,59,43,32,40,0,248,196,1,112,20,166,92,18,37,0,0,0,0,0,3,0,2,0,2,3,0,1,0,2,2,0,0,0,1,0,2,5,10,5,9,0,15,17,0,2,2,16,11,1,0
02/07/2021,212,8,40,23,48,46,30,31,14,13,7,0,113,99,0,63,11,46,70,10,12,0,0,0,0,1,1,4,2,0,3,5,0,1,1,4,2,0,0,1,5,4,3,7,7,7,6,0,20,20,0,9,1,18,10,1,1
09/10/2022,307,2,26,53,37,51,37,47,33,30,19,0,172,135,0,78,19,73,74,13,50,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1,3,0,4,5,2,6,5,0,12,14,0,12,0,10,4,0,0
06/17/2022,680,0,28,100,127,137,99,91,64,38,24,0,415,265,0,131,34,181,199,33,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,4,2,5,7,0,16,12,0,5,1,14,6,2,0
06/16/2022,746,0,41,90,153,150,113,84,86,47,23,0,456,288,2,148,68,177,214,35,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,2,2,10,5,9,0,24,17,0,7,1,17,12,3,1
06/27/2023,37,1,5,3,10,4,4,4,2,7,3,0,23,14,0,11,1,10,13,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,2,3,0,2,0,3,0,0,0
